Open,Close,High,Low,Volume,Date
4.9475,4.9525,4.985,4.9175,137,782.00,09/15/10
4.935,4.95,4.955,4.8025,186,623.00,09/14/10
4.825,4.835,4.865,4.625,148,300.00,09/13/10
4.56,4.64,4.655,4.4825,9,051.00,09/10/10
4.475,4.5625,4.5625,4.45,9,269.00,09/09/10
4.4,4.475,4.53,4.47,11,369.00,09/08/10
4.44,4.4,4.59,4.4325,14,683.00,09/07/10
4.3225,4.4975,4.52,4.3075,20,180.00,09/03/10
4.32,4.33,4.3325,4.285,19,179.00,09/02/10
4.3175,4.3225,4.3275,4.2325,18,127.00,09/01/10
4.2175,4.245,4.295,4.1625,41,207.00,08/31/10
4.25,4.255,4.2925,4.2275,69,512.00,08/30/10
4.16,0,0,0,,08/29/10
4.16,4.21,4.25,4.16,60,552.00,08/27/10
4.16,4.165,4.1975,4.05,63,231.00,08/26/10
4.03,4.0475,4.0875,4.0025,35,278.00,08/25/10
4.05,4.0525,4.16,3.9975,69,179.00,08/24/10
4.17,4.1725,4.2225,4.15,43,221.00,08/23/10
4.185,0,0,0,,08/22/10
4.185,4.2125,4.22,4.09,47,697.00,08/20/10
4.1425,4.1425,4.2275,4.1125,49,491.00,08/19/10
4.145,4.185,4.1975,4.09,59,020.00,08/18/10
4.1375,4.1475,4.1625,4.0625,73,956.00,08/17/10
4.065,4.0725,4.175,4.0575,37,350.00,08/16/10
4.1,0,0,0,,08/15/10
4.1,4.1175,4.1375,4.06,41,349.00,08/13/10
4.0075,4.0625,4.14,3.9475,104,703.00,08/12/10
3.95,3.955,4.005,3.905,79,865.00,08/11/10
3.93,3.935,4.0275,3.9275,66,358.00,08/10/10
4.03,4.03,4.11,4.01,73,345.00,08/09/10
4.04,4.05,4.0825,3.92,72,267.00,08/06/10
4.03,4.035,4.25,3.955,121,596.00,08/05/10
3.98,4.0025,4.02,3.875,54,381.00,08/04/10
3.89,3.895,3.945,3.8525,42,004.00,08/03/10
3.9,3.905,4.0425,3.8925,79,000.00,08/02/10
3.89,0,0,0,,08/01/10
3.89,3.9275,3.93,3.7825,73,152.00,07/30/10
3.7925,3.7925,3.855,3.755,64,294.00,07/29/10
3.76,3.7625,3.795,3.6225,64,312.00,07/28/10
3.63,3.6275,3.695,3.62,35,777.00,07/27/10
3.64,3.64,3.7175,3.6175,62,145.00,07/26/10
3.715,0,0,0,,07/25/10
3.715,3.7125,3.795,3.6975,49,803.00,07/23/10
3.835,3.765,3.87,3.74,58,373.00,07/22/10
3.7975,3.7975,3.815,3.7325,37,742.00,07/21/10
3.74,3.74,3.8025,3.7325,55,015.00,07/20/10
3.86,3.815,3.9125,3.7675,64,959.00,07/19/10
3.925,0,0,0,,07/18/10
3.925,3.9475,3.9575,3.875,60,826.00,07/16/10
3.91,3.925,3.9775,0,76,084.00,07/15/10
3.7,3.7475,3.7675,3.6575,1,965.00,07/14/10
3.7,3.6675,3.7425,3.66,4,166.00,07/13/10
3.75,3.7125,3.765,3.7,6,047.00,07/12/10
3.69,3.7525,3.78,3.7425,6,259.00,07/09/10
3.73,3.775,3.785,3.7,6,153.00,07/08/10
3.66,3.7075,3.7125,3.5975,6,430.00,07/07/10
3.7,3.63,3.7125,3.5925,15,223.00,07/06/10
3.625,3.64,3.6625,3.615,16,841.00,07/02/10
3.5725,3.655,3.6725,3.515,12,517.00,07/01/10
3.445,3.5425,3.58,3.25,54,659.00,06/30/10
3.265,3.25,3.345,3.245,88,969.00,06/29/10
3.345,3.3375,3.3975,3.32,93,259.00,06/28/10
3.41,0,0,0,,06/27/10
3.41,3.405,3.4625,3.395,75,140.00,06/25/10
3.45,3.4475,3.4875,3.4225,106,187.00,06/24/10
3.465,3.465,3.5175,3.4575,83,060.00,06/23/10
3.4925,3.515,3.5625,3.4825,84,382.00,06/22/10
3.545,3.55,3.6725,3.5125,133,690.00,06/21/10
3.5975,0,0,0,,06/20/10
3.5975,3.6075,3.6425,3.5575,104,334.00,06/18/10
3.55,3.575,3.6,3.5425,89,441.00,06/17/10
3.565,3.5625,3.605,3.5275,102,756.00,06/16/10
3.5125,3.5375,3.55,3.5075,82,586.00,06/15/10
3.5325,3.5375,3.545,3.485,96,391.00,06/14/10
3.5,0,0,0,,06/13/10
3.5,3.495,3.4975,3.4275,81,003.00,06/11/10
3.43,3.4325,3.48,3.36,133,474.00,06/10/10
3.38,3.3825,3.4125,3.365,113,950.00,06/09/10
3.39,3.3725,3.4025,3.35,137,623.00,06/08/10
3.3725,3.3575,3.41,3.355,108,450.00,06/07/10
3.405,0,0,0,,06/06/10
3.405,3.4,3.5075,3.3975,119,585.00,06/04/10
3.495,3.495,3.515,3.445,119,747.00,06/03/10
3.4925,3.485,3.575,3.4775,103,669.00,06/02/10
3.54,3.65,3.61,3.53,114,165.00,06/01/10
3.6,0,0,0,,05/30/10
3.6,3.59,3.73,3.5825,124,204.00,05/28/10
3.7175,3.7325,3.7375,3.6825,81,651.00,05/27/10
3.71,3.715,3.72,3.6625,82,937.00,05/26/10
3.6425,3.6425,3.7025,3.625,107,307.00,05/25/10
3.705,3.71,3.7275,3.6775,81,169.00,05/24/10
3.72,0,0,0,,05/23/10
3.72,3.69,3.725,3.59,132,311.00,05/21/10
3.58,3.62,3.63,3.5425,100,670.00,05/20/10
3.5925,3.5925,3.6325,3.535,104,361.00,05/19/10
3.6,3.5975,3.6275,3.57,93,733.00,05/18/10
3.57,3.56,3.645,3.555,99,427.00,05/17/10
3.61,3.63,3.665,3.56,459.00,05/14/10
3.7025,3.665,3.7375,3.6575,1,060.00,05/13/10
3.775,3.7175,3.79,3.6775,3,262.00,05/12/10
3.6425,3.6975,3.7,3.58,1,593.00,05/11/10
3.6975,3.63,3.6975,3.6175,3,678.00,05/10/10
3.6375,3.6475,3.6775,3.6075,4,242.00,05/07/10
