dates,Open,High,Low,Close,Volume,OpenInt,TotalOpenInt
6/3/11,615,615.25,611.5,615.25,0,70,1461231
6/6/11,0,607,607,607,2,70,1454173
6/7/11,0,614.5,614.5,614.5,0,70,1455580
6/8/11,0,629.25,629.25,629.25,0,70,1451151
6/9/11,625,639.5,625,639.5,0,70,1451815
6/10/11,0,635,635,635,40,82,1464074
6/13/11,623,628.5,622.75,628.5,0,82,1471840
6/14/11,623,625,619,619,2,83,1492159
6/15/11,615,615,606.5,606.5,28,88,1482562
6/16/11,0,598.5,598.5,598.5,5,90,1459909
6/17/11,0,600,600,600,3,92,1447577
6/20/11,0,610,610,610,0,92,1432021
6/22/11,0,604.25,604.25,604.25,0,92,1415226
6/23/11,0,602,602,602,0,92,1394491
6/24/11,0,602,602,602,0,92,1393022
6/27/11,0,596.5,596.5,596.5,0,92,1360092
6/28/11,0,615,615,615,0,92,1283251
6/29/11,613.25,617,613.25,617,0,92,1251853
6/30/11,0,593,593,593,1,92,1228849
7/1/11,597.5,600,595,595.5,0,92,1218013
7/4/11,597.5,600,595,595.5,0,0,0
7/5/11,0,605.75,605.75,605.75,40,105,1208896
7/6/11,0,609.5,609.5,609.5,0,105,1200847
7/7/11,0,603.75,603.75,603.75,0,105,1190223
7/8/11,0,613,613,613,0,105,1185584
7/11/11,610,611.5,610,611.5,0,105,1180722
7/12/11,0,621,621,621,2,104,1180392
7/13/11,624,625.25,624,625.25,0,104,1188188
7/14/11,612,614.5,612,614.5,1,104,1185910
7/15/11,0,610.25,610.25,610.25,20,110,1190770
7/18/11,0,610.25,610.25,610.25,0,110,1187057
7/19/11,0,608.5,608.5,608.5,0,110,1191055
7/20/11,0,602.75,602.75,602.75,0,110,1196994
7/21/11,0,606,606,606,0,110,1202949
7/22/11,0,613.5,613.5,613.5,0,110,1208401
7/25/11,0,611.75,611.75,611.75,0,110,1207846
7/26/11,0,622.75,622.75,622.75,0,110,1203897
7/27/11,620,632,620,632,0,110,1203373
7/28/11,630,630,627.25,627.25,31,120,1206789
7/29/11,0,617.25,617.25,617.25,2,117,1205773
8/1/11,0,628.75,628.75,628.75,0,117,1208612
8/2/11,0,634.75,634.75,634.75,0,117,1218424
8/3/11,0,638.5,638.5,638.5,8,117,1234630
8/4/11,627.75,629.5,627.75,629.5,0,117,1238351
8/5/11,0,631,631,631,1,116,1243139
8/8/11,0,613,613,613,0,116,1248447
8/9/11,0,623,618.75,618.75,0,116,1237403
8/10/11,0,612,612,612,0,116,1226344
8/11/11,0,626,626,626,0,116,1221241
8/12/11,0,628.5,628.5,628.5,0,116,1235477
8/15/11,0,628.75,628.75,628.75,0,116,1237682
8/16/11,0,633.25,633.25,633.25,0,116,1246313
8/17/11,0,630,630,630,0,116,1245187
8/18/11,0,620,620,620,48,119,1253369
8/19/11,0,626.75,626.75,626.75,10,124,1247637
8/22/11,0,639.5,639.5,639.5,0,124,1249618
8/23/11,0,641.5,641.5,641.5,0,124,1260428
8/24/11,0,631.75,631.75,631.75,0,124,1265224
8/25/11,0,630,630,630,0,124,1264739
8/26/11,0,633.25,633.25,633.25,0,124,1268762
8/29/11,635,635,634.5,634.5,1,125,1268185
8/31/11,640,640,633,633,2,126,1237201
9/1/11,0,618.75,618.75,618.75,1,126,1228406
9/2/11,0,625,625,625,0,126,1231782
9/5/11,0,625,625,625,0,0,0
9/6/11,0,629.75,629.75,629.75,0,126,1237126
9/7/11,0,629.25,629.25,629.25,0,126,1239567
9/8/11,626,627,626,627,0,126,1234512
9/9/11,0,623.5,623.5,623.5,7,126,1224262
9/12/11,0,624,624,624,0,126,1225938
9/14/11,0,614.75,614.75,614.75,1,127,1213565
9/15/11,0,600,600,600,0,127,1226416
9/16/11,0,597,597,597,0,127,1223571
9/19/11,0,590.75,590.75,590.75,0,127,1215951
9/20/11,0,593.75,593.75,593.75,0,127,1212789
9/21/11,600.25,601,598.25,598.25,0,127,1211617
9/23/11,581,583,567.5,567.5,0,127,1203641
9/26/11,0,574,574,574,3,127,1202493
9/27/11,585,589.25,585,589.25,0,127,1194923
9/28/11,0,574.25,574.25,574.25,7,125,1194151
9/29/11,573.5,580,573.5,579.5,0,125,1188049
9/30/11,0,571.25,571.25,571.25,10,123,1187480
10/3/11,0,571.5,571.5,571.5,0,123,1201833
10/4/11,0,570.75,570.75,570.75,0,123,1206590
10/5/11,578.5,581,576,581,0,123,1202658
10/6/11,0,583,583,583,109,155,1201799
10/7/11,583,583,577.5,577.5,0,155,1210729
10/10/11,0,583.25,583.25,583.25,40,175,1212695
10/11/11,0,607,607,607,7,178,1210088
10/12/11,0,602.25,602.25,602.25,0,178,1194779
10/13/11,0,599.75,599.75,599.75,0,178,1202111
10/14/11,0,606.5,606.5,606.5,7,176,1214983
10/17/11,604.25,604.25,604,604.25,0,176,1233996
10/18/11,0,599.75,599.75,599.75,10,176,1233213
10/19/11,0,594.5,594.5,594.5,0,176,1237330
10/20/11,0,600.25,600.25,600.25,0,176,1232470
10/21/11,0,601.5,601.5,601.5,0,176,1236630
10/24/11,0,603.75,603.75,603.75,16,184,1236034
10/25/11,605,606,605,606,0,184,1229239
10/26/11,600,600.5,600,600.5,30,189,1220762
10/27/11,0,610.25,610.25,610.25,31,191,1223806
10/28/11,0,613,613,613,6,192,1225143
10/31/11,0,604.5,604.5,604.5,0,192,1231570
11/1/11,0,612.75,612.75,612.75,0,0,0
11/2/11,0,608,608,608,0,194,1231823
11/3/11,0,612.75,612.75,612.75,0,194,1229148
11/4/11,0,611.75,611.75,611.75,0,194,1239735
11/7/11,0,615,615,615,0,189,1217936
11/8/11,613,613,607,611.75,1,190,1250157
11/9/11,0,599,596.5,599,3,192,1267573
11/10/11,0,593,593,593,3,195,1296476
11/11/11,0,585.5,585.5,585.5,0,195,1310791
11/14/11,583,583,582,582,0,195,1315638
11/15/11,0,591.5,591.5,591.5,1,200,1319195
11/16/11,0,589.25,589.25,589.25,0,200,1318578
11/17/11,0,571.25,571.25,571.25,0,200,1320908
11/18/11,0,568.5,568.5,568.5,1,200,1328780
11/21/11,0,568.5,568.5,568.5,0,200,1322868
11/22/11,566.25,570.25,566,570.25,0,200,1318773
11/23/11,570,570,569.5,569.5,3,200,1298708
11/24/11,570,570,569.5,569.5,0,0,0
11/25/11,0,562.25,562.25,562.25,2,200,1270382
11/28/11,567.75,572.5,567.75,572.5,0,200,1268774
11/29/11,0,574,574,574,15,205,1201006
11/30/11,0,576,576,576,0,205,1156941
12/1/11,580,580.25,579,580.25,0,205,1154141
12/2/11,0,575.25,575.25,575.25,5,208,1148763
12/5/11,0,578.75,578.75,578.75,0,208,1146241
12/6/11,575,578.25,575,578.25,0,208,1146889
12/7/11,0,573.25,573.25,573.25,11,213,1146906
12/8/11,0,581.75,581.75,581.75,4,210,1146285
12/9/11,0,574,574,574,0,210,1149137
12/12/11,0,569,569,569,0,210,1154415
12/13/11,575,575.75,575,575.75,0,210,1159173
12/14/11,0,565.5,565.5,565.5,1,210,1166153
12/15/11,0,566.25,566.25,566.25,4,209,1169860
12/16/11,0,569.5,569.5,569.5,0,209,1167592
12/19/11,572.5,573,572.5,573,0,209,1173738
12/20/11,0,580,580,580,1,209,1164379
12/21/11,0,582.25,582.25,582.25,2,209,1165318
12/22/11,0,576.5,576.5,576.5,0,209,1168258
12/26/11,0,577,577,577,0,0,0
12/27/11,583,583,582,582,0,209,1158975
12/28/11,584.75,586.5,584.75,586.5,1,210,1153976
12/29/11,0,588,588,588,1,210,1147739
12/30/11,588,588,585.75,585.75,1,210,1143324
1/2/12,588,588,585.75,585.75,0,0,0
1/3/12,590.5,592,587.5,592,15,214,1151024
1/4/12,0,591.75,591.75,591.75,11,213,1176008
1/5/12,0,579.75,579.75,579.75,0,213,1182195
1/6/12,0,574.75,574.75,574.75,0,213,1193378
1/9/12,0,582.5,582.5,582.5,0,213,1204637
1/10/12,0,583.75,583.75,583.75,2,213,1212550
1/11/12,582,582.5,578.5,578.5,0,213,1211479
1/12/12,0,570.5,570.5,570.5,12,218,1211908
1/13/12,0,568.25,568.25,568.25,1,219,1200821
1/16/12,0,568.25,568.25,568.25,0,0,0
1/17/12,0,569.5,569.5,569.5,1,218,1209478
1/18/12,567,567,562.75,562.75,0,218,1205420
1/19/12,0,569,569,569,3,218,1208616
1/20/12,0,565.75,565.75,565.75,0,218,1211205
1/23/12,0,570.25,570.25,570.25,0,218,1211669
1/24/12,571.5,573.5,571.5,573.5,0,218,1219617
1/25/12,0,571,571,571,2,218,1214460
1/26/12,0,575,575,575,0,218,1211599
1/27/12,580,581,580,581,0,218,1221911
1/30/12,0,574.75,574.75,574.75,3,218,1223943
1/31/12,0,578,578,578,0,218,1224528
2/1/12,580,583.75,580,583.75,0,218,1235541
2/2/12,0,583,583,583,5,218,1244700
2/3/12,580,583.75,580,583.75,0,218,1245936
2/6/12,578.25,582.5,577,582.5,5,218,1253743
2/7/12,580,580,579.25,579.25,62,231,1278116
2/8/12,574,576.25,574,576.25,1,232,1278727
2/9/12,0,575.5,575.5,575.5,1,232,1273915
