dates,Open,High,Low,Close,Volume,OpenInt,TotalOpenInt
5/11/12,0,1181.25,1181.25,1181.25,0,6,795633
5/14/12,0,1163.75,1163.75,1163.75,0,6,788484
5/15/12,0,1176.25,1176.25,1176.25,0,6,788762
5/16/12,0,1170.25,1170.25,1170.25,0,6,790835
5/17/12,0,1174.5,1174.5,1174.5,0,6,791260
5/18/12,0,1165.25,1165.25,1165.25,0,6,781683
5/21/12,0,1185.25,1185.25,1185.25,0,6,778132
5/22/12,0,1172,1172,1172,0,6,775614
5/23/12,0,1153.5,1153.5,1153.5,0,6,776789
5/24/12,0,1173.25,1173.25,1173.25,0,6,775931
5/25/12,0,1178,1178,1178,0,6,774218
5/28/12,0,1178,1178,1178,0,0,0
5/29/12,0,1182.5,1182.5,1182.5,0,6,774281
5/30/12,0,1183.5,1183.5,1183.5,0,6,773982
5/31/12,0,1170.5,1170.5,1170.5,0,6,770865
6/1/12,0,1161.5,1161.5,1161.5,0,6,767786
6/4/12,0,1172.25,1172.25,1172.25,0,6,760602
6/5/12,0,1181.25,1181.25,1181.25,0,6,763614
6/6/12,0,1191.25,1191.25,1191.25,0,6,762748
6/7/12,0,1222.25,1222.25,1222.25,0,6,769403
6/8/12,1207.75,1212,1207.75,1212,0,6,762933
6/11/12,0,1208.75,1208.75,1208.75,2,6,762733
6/12/12,0,1208,1208,1208,0,6,762415
6/13/12,0,1198.75,1198.75,1198.75,0,6,771727
6/14/12,0,1190.75,1190.75,1190.75,0,6,775649
6/15/12,0,1196,1196,1196,0,6,775116
6/18/12,0,1212.75,1212.75,1212.75,0,6,772429
6/19/12,0,1243,1243,1243,0,6,771476
6/20/12,0,1254.5,1254.5,1254.5,0,6,783332
6/21/12,0,1232.5,1232.5,1232.5,0,6,786467
6/22/12,0,1235.5,1235.5,1235.5,0,6,773095
6/25/12,0,1265.75,1265.75,1265.75,0,6,774359
6/26/12,0,1256.5,1256.5,1256.5,0,6,769831
6/27/12,0,1252.25,1252.25,1252.25,0,6,767736
6/28/12,0,1247.25,1247.25,1247.25,0,6,765753
6/29/12,0,1267.5,1267.5,1267.5,4,8,764563
7/2/12,0,1284.25,1284.25,1284.25,0,8,769935
7/3/12,0,1302.75,1302.75,1302.75,0,8,773141
7/4/12,0,1302.75,1302.75,1302.75,0,0,0
7/5/12,1315.25,1322,1315.25,1322,0,8,775344
7/6/12,1307.75,1308,1307.75,1308,1,8,802740
7/9/12,1328,1328,1327.75,1327.75,2,8,799616
7/10/12,1325,1325,1324.25,1324.25,2,9,800506
7/11/12,0,1298.5,1298.5,1298.5,1,9,799500
7/12/12,0,1301.25,1301.25,1301.25,0,9,815115
7/13/12,0,1323.75,1323.75,1323.75,0,9,822467
7/16/12,0,1346,1346,1346,0,9,821605
7/17/12,0,1336.25,1336.25,1336.25,0,9,828300
7/18/12,0,1326.75,1326.75,1326.75,0,9,833271
7/19/12,0,1300.25,1300.25,1300.25,0,9,838137
7/20/12,0,1309.25,1309.25,1309.25,1,9,836188
7/23/12,0,1275,1275,1275,0,9,836413
7/24/12,0,1253.75,1253.75,1253.75,0,9,829972
7/25/12,0,1274.5,1274.5,1274.5,0,9,811596
7/26/12,0,1248,1248,1248,0,9,803124
7/27/12,0,1270,1270,1270,0,9,797713
7/30/12,0,1295,1295,1295,0,9,764150
7/31/12,0,1289.75,1289.75,1289.75,0,9,763147
8/1/12,0,1281.5,1281.5,1281.5,0,9,760359
8/2/12,0,1279,1279,1279,0,9,762624
8/3/12,0,1299.5,1299.5,1299.5,0,9,760686
8/6/12,0,1282.25,1282.25,1282.25,0,9,763054
8/7/12,0,1274,1274,1274,0,9,758262
8/8/12,0,1279.5,1279.5,1279.5,0,9,752907
8/9/12,0,1293.25,1293.25,1293.25,0,9,742942
8/10/12,0,1311.5,1311.5,1311.5,0,9,745363
8/13/12,0,1281.25,1281.25,1281.25,0,9,748899
8/14/12,0,1286.25,1286.25,1286.25,0,9,744752
8/15/12,0,1296.75,1296.75,1296.75,0,9,741621
8/16/12,0,1286.5,1286.5,1286.5,0,9,739198
8/17/12,0,1292.75,1292.75,1292.75,0,9,739615
8/20/12,0,1306.75,1306.75,1306.75,0,9,740510
8/21/12,1317.75,1334.75,1317.75,1334.75,0,9,742917
8/22/12,0,1338.25,1338.25,1338.25,46,39,755187
8/23/12,0,1325.25,1325.25,1325.25,0,39,753488
8/24/12,0,1333,1333,1333,3,40,757670
8/27/12,0,1331.75,1331.75,1331.75,0,40,747565
8/28/12,0,1347.25,1347.25,1347.25,0,40,741452
8/29/12,0,1357,1357,1357,0,40,742075
8/30/12,0,1360,1360,1360,0,40,740977
8/31/12,0,1363.75,1363.75,1363.75,0,40,747352
9/3/12,0,1363.75,1363.75,1363.75,0,0,0
9/4/12,0,1391,1391,1391,0,40,744916
9/5/12,0,1384.25,1384.25,1384.25,4,40,742719
9/6/12,0,1386.25,1386.25,1386.25,0,40,735456
9/7/12,0,1375.5,1375.5,1375.5,0,40,736796
9/10/12,0,1359.25,1359.25,1359.25,0,40,737904
9/11/12,1354.75,1356,1348.75,1348.75,0,40,733581
9/12/12,1350,1374.75,1350,1374.75,11,44,733037
9/13/12,0,1391,1391,1391,2,45,737841
9/14/12,0,1397,1397,1397,0,45,737335
9/17/12,0,1342.75,1342.75,1342.75,1,45,735746
9/18/12,1343,1352.25,1343,1347.75,17,52,734073
9/19/12,0,1370.5,1370.5,1370.5,2,52,730121
9/20/12,0,1344.5,1344.5,1344.5,7,57,730126
9/21/12,0,1359,1359,1359,0,57,733497
9/24/12,0,1357.25,1357.25,1357.25,0,57,728281
9/25/12,0,1357.25,1357.25,1357.25,0,57,725429
9/26/12,0,1326.75,1326.75,1326.75,0,57,725027
9/27/12,0,1321.5,1321.5,1321.5,0,57,727396
9/28/12,0,1343.25,1343.25,1343.25,0,57,726328
10/1/12,0,1334,1334,1334,0,57,724658
10/2/12,0,1331.25,1331.25,1331.25,0,57,725411
10/3/12,0,1342.75,1342.75,1342.75,0,57,721121
10/4/12,0,1339.5,1339.5,1339.5,0,57,723277
10/5/12,0,1334.75,1334.75,1334.75,0,57,721977
10/8/12,0,1339.5,1339.25,1339.25,0,57,726573
10/9/12,0,1349.25,1349.25,1349.25,0,57,725846
10/10/12,1338.5,1342.5,1338.25,1342.5,0,57,718505
10/11/12,0,1361.25,1361.25,1361.25,5,57,708050
10/12/12,0,1346.5,1346.5,1346.5,0,57,711034
10/15/12,0,1334,1334,1334,0,57,712271
10/16/12,0,1336.25,1336.25,1336.25,0,57,713562
10/17/12,0,1345,1345,1345,0,57,715099
10/18/12,0,1360.75,1360.75,1360.75,0,57,713814
10/19/12,1360,1360,1348.25,1348.25,0,57,717145
10/22/12,0,1346.5,1346.5,1346.5,2,57,710651
10/23/12,0,1343.25,1343.25,1343.25,0,57,708946
10/24/12,0,1344.5,1344.5,1344.5,0,57,706472
10/25/12,0,1344,1344,1344,0,57,707123
10/26/12,0,1350.25,1350.25,1350.25,0,57,704422
10/29/12,0,1339,1339,1339,0,57,674090
10/30/12,0,1343.5,1343.5,1343.5,0,57,657532
10/31/12,1357,1357,1356.5,1356.5,0,57,639787
11/1/12,0,1361.75,1361.75,1361.75,2,57,633645
11/2/12,0,1349,1349,1349,0,57,634646
11/5/12,0,1345.5,1345.5,1345.5,0,57,632395
11/6/12,0,1353.25,1353.25,1353.25,0,57,626668
11/7/12,0,1354.5,1354.5,1354.5,2,57,620361
11/8/12,0,1346.5,1346.5,1346.5,2,57,615527
11/9/12,0,1330,1330,1330,0,57,614163
11/12/12,0,1297.5,1297.5,1297.5,0,57,603152
11/13/12,0,1294.75,1294.75,1294.75,0,57,605171
11/14/12,0,1289.5,1289.5,1289.5,2,58,604162
11/15/12,0,1288.5,1288.5,1288.5,17,65,600210
11/16/12,1284,1287.5,1284,1287.5,12,66,605051
11/19/12,0,1301,1301,1301,84,121,601897
11/20/12,0,1315,1315,1315,0,121,598632
11/21/12,0,1315,1315,1315,0,0,0
11/22/12,1308,1310,1308,1308,0,0,0
11/23/12,0,1308.5,1308.5,1308.5,5,121,606472
11/26/12,1312.5,1317,1312.5,1317,0,121,606326
11/27/12,0,1330.5,1330.5,1330.5,229,252,606712
11/28/12,1320,1322.5,1319,1322.5,0,252,603386
11/29/12,1325.5,1326.25,1322.75,1324.5,22,253,601640
11/30/12,0,1320.75,1320.75,1320.75,17,253,603040
12/3/12,1325.75,1331,1323,1323.5,0,253,595841
12/4/12,1323,1323,1320.5,1320.5,103,281,591680
12/5/12,1325,1334.5,1325,1334.5,25,296,593934
12/6/12,1332,1340,1332,1338.75,77,317,596472
12/7/12,1340.25,1341,1332.25,1333.5,23,323,592109
12/10/12,1340.5,1340.5,1339.5,1339.5,19,331,591167
12/11/12,1340.5,1342.25,1326.75,1326.75,5,331,585861
12/12/12,0,1324.5,1324.5,1324.5,34,350,599332
12/13/12,0,1316.5,1316.5,1316.5,50,355,603576
12/14/12,1319.5,1324,1319.5,1324,0,355,614866
12/17/12,1318.5,1326.75,1316,1325.5,13,352,611890
12/18/12,1318,1318.25,1318,1318.25,23,372,617006
12/19/12,1311,1316.5,1311,1316.5,41,364,611685
12/20/12,0,1305.5,1305.5,1305.5,27,376,604127
12/21/12,0,1320,1320,1320,2,377,592328
12/24/12,0,1326.5,1326.5,1326.5,14,380,575226
12/26/12,0,1317.75,1317.75,1317.75,4,380,569969
12/27/12,0,1320.75,1320.75,1320.75,0,380,563629
12/28/12,0,1328.5,1328.5,1328.5,22,376,555678
12/31/12,0,1324,1324,1324,8,377,546876
1/2/13,1336,1336,1309,1317.5,37,408,546273
1/3/13,1302.75,1314.25,1302.75,1314.25,45,436,548932
1/4/13,0,1300.25,1300.25,1300.25,22,442,544418
1/7/13,0,1307.5,1307.5,1307.5,26,452,545592
1/8/13,0,1305.75,1305.75,1305.75,32,460,541046
1/9/13,1301.75,1310,1301.75,1310,13,467,539444
1/10/13,1307.5,1307.75,1304.25,1304.25,52,473,537423
1/11/13,1296,1296,1287,1289,55,500,537141
1/14/13,0,1308.25,1308.25,1308.25,44,532,538809
1/15/13,1306.5,1307.25,1300.75,1300.75,39,556,537905
1/16/13,1309.5,1312.75,1308,1312.75,54,578,532386
1/17/13,0,1302.75,1302.75,1302.75,30,577,533479
1/18/13,0,1310,1310,1310,25,587,536578
1/21/13,0,1310,1310,1310,0,0,0
1/22/13,1323,1325.5,1321.5,1325.5,0,587,540364
1/23/13,1320,1324,1313.5,1316,58,616,548246
1/24/13,1312,1316.25,1312,1316.25,57,609,551565
1/25/13,1313,1313.75,1312.75,1313.75,93,674,553764
1/28/13,1316.25,1319.5,1316,1319.5,33,706,558544
1/29/13,1325.25,1328,1321.5,1324.75,22,728,563939
1/30/13,1335,1343.75,1335,1342.25,34,755,574109
1/31/13,1343.75,1344.5,1325.5,1337.25,82,801,587360
2/1/13,1342,1342,1338.25,1338.25,62,814,594047
2/4/13,1346,1346.25,1344,1345.25,81,821,599230
2/5/13,1341,1350.75,1341,1350.75,172,831,602336
2/6/13,1338.75,1340,1338.75,1340,12,830,607910
2/7/13,1333.5,1333.5,1324.75,1328.75,114,839,610700
2/8/13,1299,1299.25,1292.75,1292.75,112,887,619698
2/11/13,1282.5,1282.5,1280,1280,120,885,622005
2/12/13,1281.25,1283,1279,1281.25,46,881,621389
2/13/13,1276,1280.25,1276,1280.25,167,958,618804
2/14/13,1274.5,1277.5,1271,1276.75,58,971,621471
2/15/13,0,1273.25,1273.25,1273.25,141,1003,626989
2/18/13,0,1273.25,1273.25,1273.25,0,0,0
2/19/13,0,1285.25,1285.25,1285.25,29,1006,634210
2/20/13,1296.25,1297.25,1296.25,1297.25,9,1010,639507
2/21/13,0,1287,1287,1287,95,1014,630410
2/22/13,0,1274,1272.25,1274,3,1016,624565
2/25/13,0,1274.75,1274.75,1274.75,41,1021,614089
